context,response
i think you present the drive to vmware as a virtualdisk it will boot,but there maybe some issue with drives and stuff
interesting problem we used to whisper them to each other,haha just looking for an online password manager that isn't clipperz
sure,hur s
i did so,have you done it with preseed
how do i connect to vinagre vnc in ubuntu from windows pc,how do i connect to vinagre vnc in ubuntu from windows pc using realvnc
joinubuntues,slash goes before
i did aptget for ethereal when i run and enter the root pw i get the following'failed to run usrbinethereal,wrong password'
windows doesn't play nice when its not number 1 i wonder why lol,this could be a problem when i finally get around to getting windows
how to i install a pkg1run file from terminal,chmod x file file
make a new one and fill iti'm just not sure where some of the bits come from,that's every failure's exuse
technically no,technically less sticks are quicker because then it doesn't have to go 'further out'
like what packages to install etc,what type of development
query wsagent,qurey wildbat
has anyone had any issues with repositories when upgrading to gutsy,change repositories switch to a different mirrorsystemadminsoftware sources download fromother then click 'select best server'
i think you'll enjoy it,lol thanks
how do i reinstall grub to mbr after the windows boot loader has taken over,use grubinstall
look in boot,thanks to you too
anyone ever use gadminsamba,i'm trying to network my files on ubuntu so that windoze users can access them
fernando what system's that on,ubuntu 810
well then 1204 shall be better,you could look in xsessionerrors
hey guys i have a hardware related question does anyone know of a channel dedicated to that thanks,hardware is invite only
hi folks is there a library for cracking archive passwords,a brute force program is whaty ou will need and it may takea l ong time
ok thanks just wanted to check if that would work lol,try 'gprename' for that
how can i use kword in ubuntu,install it
any one can help me and how to fix with w failed to fetch httpsecurityubuntucomubuntupoolmainssambasmbclient3026a1ubuntu21i386deb,403 forbidden
i did then it ask for a pw and it doesnt let me type anything,you jsut don't see the letters it is typing though just put your user pass
if anyone here has been able to successfully install a gui for dapper please pm me,graphical user interface
hit escape a few times then colon q exclamation point enter,thanks
hello i'm new to this chanel i met 'bad lun' error when i try to install ubuntu plz help me,what sort of device are you trying to install ubuntu on
please,you mean with ios 5
no logout sound on 710 gnomedesktopbut from preferences tabs plays with no problems,any help appreciate
can i use kde app on gnome desktop,like mame is kde i believe
how can i play wmv file format in natty,sudo aptget install ubunturestrictedextras
holowell theriocally fat32 can be up to 2tb anyhow,but that would be very huge kb blocks
i would say yes kale,ok thanks i just wondered is lts was a linux terminal server edition
my sound and usb is not working and currently running kernel 261210 will the kernel upgrade solve those problems,maybe
thanks actionparsnip and xangua and mcphail,thats new gnome
daniel you just have that area selected iirc,what are ya talking about
mary lulz,xchat has been fine so far though i'd like a list of commands
hwinfo,thanks
it is an older one that runs windows xp,aso try the alternattext installer
why i cant install flahsplayer,do you want flashplayer for your firefox
anybody know if quicken 2007 runs fine in windows xp with online banking under vmware ok,why wouldn't it but that's a windows issue really
anyone else has problem that when you maximise a window it become all white,happend to me once in a while but i have no solution for it
es porota,not
whats the command for a force disk check,fsck
seems to have just come back up,yes use pgpkeysmitedu
is it posible can i sell ubuntu dedicated servers,why not
hoary final will be out in april,see ubuntu forums for howto
nick purvesh,nick purvesh
i cant found it,emacs highlights searches in a simmilar manner
i'm not sure i understand how to type an appropriate chown statement,example chown 777 file
hello every one,i need irc channel for postfix
how can i turn off the bootsplash,permanently or just the once
how can i install putty please,yes
my refresh rate always resets after reboot nvidia,be patient if anyone knows the answer they will answer if nobody knows at the moment nobody will answer
indeed,please do not trecomend that method here even envyng is better
i just did 'sudo aptget install vimgtk' in terminal how do i uninstall it,sudo aptget remove vimgtk
i want a nice music player with gui able to play wmamp3wav for ubuntu what is available,ubotu should have sent you a link to a list on the wiki
you can if you have such a device,by bypassing the requirement for login of course
thanks,'chmod ugorwx filename' ugo is user group other rwx is read write execute customize to suit
why cant i connect to a windows vista computer,did you look in the forum thre is also a link for sharing with windows on this page httprevision3comforumshowthreadphpt84
impossible find linuxsource26105386 is the answer,i'm using 54 release
is your wireless card you primary connection or the wired card,did you try configuring the interface manually yet
i just got anew camera what packages should i install on ubuntu to try to get video from it,i just got anew camera what packages should i install on ubuntu to try to get video from it
im a human don't kick me,please don't curse
kirji the updates of 3 or so days ago made my cups go funny,kirji although it isn't a big deal to me i don't print anything ever
sorry,that's offtopic for this channel and probably for this whole network
hi can someone please help me create a symlink for java on ubuntu 6,you make your children play games on linux
what is the advantage of ubuntu over kde,k thanks
how can i do mplayer to default player in ubuntu,right click on a file and select the open with tab
dhclient interface,need to put sudo infront of dhclient
right click,httpsanswerslaunchpadnetubuntuquestion10287
i used envy which made the process painless,your next step will be here then httpswikiubuntucombinarydriverhowtonvidia
the command 'mount',actually means that your'e from hamburg aight
on firefox,you can try using the vlc one
good afternoon i'm having some trouble getting java working in chromium on my xubuntu 1204 netbook,are you experiencing missing builtins
speaking as an op that's fast removal,all planned
themes,vgood
how can i get rid of untrusted source for universe,edit your sources list uncheck the box in synaptic etc
my friend has a ps3 and we are going to put linux on it,cool
gconfeditor nautilus desktop,apps nautilus desktop
could anyone help me with installing this magic mouse driver i found i have no clue where to even start,in principle manual driver installation is never needed can you describe what you are trying to do
gnome 28 is in warty right,im doing a review of ubuntu and userlinux i have a feeling you guys are going to cream userlinux
perfect,and how do i unmount without ejecting a disc
how to mount a floppy drive isn't mount t auto devfloppy mediafloppy0,you might try devfd0 too
im restarting,command not found
is it possible to listen to audio from 2 different programs at the same time,is it possible to listen to audio from 2 different programs at the same time
hi,i'm ok thanks feel free to ask your ubuntu question
ubuntu has a some mud servers,hmmm will have to look them up
you might have to find a repository with that package in it,cheers tried canonical and plf repos with no luck recommend any repos
did gdm break for anyone else,explain break
is it possible to convert a 64bit ubuntu installation to 32bits,i dont think so too
any hacker here,a rather vague and pointless question care to give more details in the ubuntu support issue
does anyone know how 2 make a server out of linux,you install server type apps that's all
sudo that command,sudo aptget update
like little kids,edubuntudesktop
is there any way to get the fixed utillinuxng then,it's in lucid
did you suggest anything while i was lagging out,any ideas on how i can get my graphics card working on ubuntu
cat procversion,test em
you can get allmost anything if you google,google only talks about 904 for arm
but i do have to say k3b is quite nice,k3b nautilus cd burner
minicom,anyone can tell me where is located parport
hello how do i find out what my ubuntu system footprint size is,df h
hi,how to have the dvd rom always in dma mode
could someone help me in pm for a second,how do i register
hardy discussion in ubuntu1but try sudo aptget distupgrade,ah that looks like it will work thought i tried it earlier
aha,there is a tool called durep that can give you a visual breakdown on space google it
so i cant really do anything,they are not expensive sell yours off
httpgnomelookorg,there's a lot of themes as well as login screen themes for you there
this one,best to just ask the channel your actual question on a single line
i think it is broken for yuriq,yeah seen that only after posting
how necessary is it to run a firewall on ubuntu,i know that one gets instantly bombed without one on windows but does the same hold true for linux
do you have w32codecs installed,why did you install mplayer from source
or just ubuntu,sure also be aware of kubuntu
a aeron chair or a sports car seat d,language croz
i know open is eject devblah,eject t devcdrom
isn't that on topic,sounds reasonably on topic
is there like a quick reference guide for ubuntu i am used to suse,helpubuntucom has a starter guide
thanks but i got it,ok is your sudo question solved now
that feature has been disabled,i gather that much how do i enable
who should i talk to to go over all the bug i have with openstack swift running on precise,ubuntu1 for precise not here
how can i get drivers for ipaq 3660 on ubuntu,should be supplied out of the box
did you run the cd test to make sure the cd isn't corrupt,yes i checked that
well this sucks i been searching and trying for 5 hours here i cant get this to work,all i want is to view my windows shared mp3movie folder in ubuntu
i need some help,just ask
it should be in 'universe community supported repository',yes
can someone tell me if they have scrnsaverh,maybe where should it be
plz,i dont need help of robots
woah thats cool i am working on an opensourcegameconsole any chance that could handle sdlopengl apps,probably not bear in mind it is not in any way like a pc
is windows 7 still free for the rc,where can i get a win7 rc
dpkg getselections testtxt,thx
how to rebuil my kernel with configvideov4l1compat,i think you answered it yourself compile it from source once you get to 'make menuconfig' mark that option
i guess u need to enable repos fr that,lol that's funny 'ubuntu doesnt have nonfree software'
can't just reconfigure it as it is not installed,that command reruns the same config setup
hi,i'm new to linux can anyone tell me how to create shortcuts in nautilus
is ubuntu using gdm,or kdm
try in c,get yourself registered and identified and you can enter
sudo aptget install vlc,yes that installs the program for you
can somebody tell me what app i have to use so my ubuntu pc's can fileshare with my winodws pc's,or access a drive on a windows machine
hello guys i would like to know which version i should prefer to my online server edgy dapper or feisty,openbsd
try sudo aptget update first,using aptget updateupgrade first did not help
hi anyone know how to force a different mirror when running aptget,i've only done it by changing my sources file myself check the aptget man to see if there's another
i can't recall the name of that good gnome spreadsheet any hint,gnumeric
httpenwikipediaorgwikiluks,httpletmegooglethatforyoucomqubuntuluks
can someone explain to me how to switch between unity 3d and 2d,its a login option
i can't play my vcds,how to sort that problem
good,are you running the service for people without accounts on the system or anonymous users
lftp ftw,it's console though
hi peeps,can someone help me with ics using ubuntu 606
is there a new release of ubuntu about every 6 months,yes
hey,whats the command to see if my pc supports x8664
is there a guide how to install ubuntu through the network,httpwwwubuntulinuxorgwikinetbootinstallhowto
hey xethron,tv means teamviewer
nickrud but there is iptables right,yes that's a tool to set the firewall rules unless you actually use iptables there are no firewall rules
so i did thank you,10 dash four that
restricted extras methinks,dosent help
the default ubuntu desktop is gnome you can select a kde session at the login screen,if you have installed kde that is
omg easycam2 is in french,what's the meaning ce driver n'est pas compatible avec easycam ou l'orthographe est incorrecte ou il n'existe pas
xine is movie player like mplayer,actually xine is a media backend other programs use it it's similar to gstreamer in that respect
how do i see my cpusystem temperature in ubuntukubuntu i have a pentium 4 what do i need to do,apget install ksensors
can anyone help me,don't ask to ask
hi im newb,how do i join different channels
hjmills ah which command,httpdmiesslercomstudynixcommandsfind
quit,exit
for some reason synaptic doesnt ask my for a password anymor,and im so happy
how much ram ubuntu desktop needs to perform ok,i want to know how much i need to give to a vbox guest
what is a good cddvd burning program,k3b gui
could someone kindly help me with my little problem,httpubuntuforumsorgshowthreadphpp4649744post4649744
plz make the kind note to check if someone is active before bothering,i suggest you read the guidelines
whats that mean,try using gxine
i thought this is where i came for help with issues with ubu not listen to offtopic winging,you're correct on the first part
many many serious issues,ohok hmm then i'll guess i'll stick with 504 then
when did they make bigmem the default,i think in lucid the installer detects the amount of ram and uses the pae kernel if required
with php mysql support,sudo aptget install apache2 php5mysql mysqlserver50
how can i chnage the default dvd application,sys prefs removable drives media mmedia tab
can anybody tell me how to download the youtube videos in google chrome in ubuntu 1004,wait until it has fully buffered and then cp tmpflash yourdirfileflv
guys ubuntu or windows 7,ubuntu
hej vet ngon hr hur jag ska intsallera autorun i miin intrepid,we're not dutch
fdisk l hd01 refers to the second partition on the first harddrive number starts at 0,2 thanks
the repos are proper slow tonight,i dont think it is
whats thebest manger to mange copwiz,compiz
hey i'm new to ubuntu and linux and was wondering if i could get a few q's answered,just ask
help newbie here,using meerkat playing mp3 on rhythmbox no sounds
you have the website,i have a large note that tells you how to reinstall grubbut have never used pastebin smile
hii got badmy data is lost on a fat32 partiton,i already over wrote
how do i make my pidgin display contacts wo groups eg friends workers just online and offline,ask pidgin
yea,its not better then windows
how come opening a file reading a html file from the virtual terminal isn't on the wikis basic commands,do i have to allow access first via cat or nano
i'm fish,typing with fins
internet explorer which is why i want to block the ads on the router,its also just nicer to do it that way
type sudo gedit file,gksu
173xx,thanks
what is the command again to start ubuntu's xserver configuration dpkgreconfigure xserver,sudo dpkgreconfigure xserverxorg
how to add new include directories to gcc,use the l option
try fuse for mounting your ntfs partition in readwrite mode,okay thanks
hi,the desktop iso video doesnt work
do you have any suggestions with iptables,make your custom iptables it's fun
jhgghjfnbshsbilhfnhjkghxmdnffhgjtnhjtbnh hgsduihgdfhbjdg,roit
my wireless doesnt work on my laptop running 910,card model
i have wesnoth working and i do not have the music package,look at sshkeygen locally and put results into sshauthorizedkeys on the remote system
can i run ubuntu in windows like in a little window,with vmware or virtualpc you can
why,you see winblows linux
what would be the fastest way to install nvidia drivers for a geforce 6600gt on breezy,synaptic
yes it is,the way to get rid of keyring is edit your start up menu and disable gnome keyring
how to type chinese letters,install chinese input method
laptop has thin blue line about 13 from the right side from top to bottom what can i do,do you get this line in the bootup bios screen if so its the physical monitor
trying to help a friend remotely,lose the 'd' etcinitdssh start
afterstep enlightenment fvwm,it sounds like a permission problem on www
you can add yourself to the wwwdata group then make varwww writeable to the group wwwdata,who aer you talking to
oh really can you give me an idea of a googleable package,eiciel is an editor for acl and extended attributes didn't try them myself actually
how can i delete a file in terminal,its a symbolic link i createdneed to delete it
and it's on natty,what video chipset on nvidia had to go into nvidia x settings and enable twinview
use dd as usual,did so turned out i needed to use devsdc because it's on usb
whethever adobe wants them lots of addons to download videos out there,but i have it loaded alredy
what's the best textbased browser for surfing the web,w3m and lynx are common i prefer w3m but thats just me
in the login screen or on the actual desktop,ok so you need to change the gdm theme gksudo gdmsetup or somesuch
how to install winamp through wine,wine
hello i have a problem with my hardy,anyone could help me
how much you want to spend,i have an envy i like it
i press empty trash,and says an error about rights
no,there is info on forums concerning limewire
why do people so love to abuse the bot,some people take what ubotu said 'or else' as a challenge perhaps
i have a project to setup a 'forum server' and i have no clue where to begin any help,sudo aptget install phpbb2
my daughter just got a cd but the drive in her imac is stuffed,sound juicer
what gui text editors do you guys use anyways,i just want something simple and i'm bored with vim not able to cut n paste between xwin apps
hi what a d before the permission means like this drwxrxrx,'directory'
how do i change which browser opens when i click a link in xchatgnome,systempreferencesp apps
rootsux,unwarranted
rm rf mntwindows,don't be silly
how do i use gnash as a firefox plugin,never used gnash though most of the time you just symlink the plugin to firefox's plugins folder
when you do it the guiway through gnome,no just did it via menu
have you verified it does it even get as far as showing a menu where you can verify it,no
where's the official 'how to upgrade to gutsy' page,ubuntucomtesting but ask future gutsy questions in ubuntu1
you also need buildessential,you might as well compile ooo from source and install it from there
short answer because of apache2ctl,ah gotcha thanks
anyone want to help me with a hardware problem,just ask the goddam question
whatelse do i need,did you read samba
some flash games and stuff partially displays but nothing works properly,if you cant fix it you shouldnt be using it
how do i install a tgz file,then read the readme inside and you need a in front tar zxvf
another quick one how do you target a msg to someone in irc user,yes
any working scripts for an all encompassing media,i cannot parse that define 'all encompassing media'
im just trying to get my atheroths ar5009 wireless card to work,madwifi
'lspci grep i vga','lspci grep i vga'
anybody,whats up
i want to try to install os x to my acer notebook,illegal and messy slow and ugly
help i lost my sound icon on gnomepanel how do i add it back,just restore your panel
there are all sorts of possibilities hardware of course,to begin with find your ubuntu installation cd again and let it run memtest overnight
harry there's always gentoo if you want to see what it's like,gcc took like seven or eight days to emerge on my gentoo box once that was fun
my right click with pen is registering on the computer as a middle click how would i change that,httpcblfscrosslfsorgindexphpwacom
the people in gaim are really mean,how come
envy is not supported,it usually ruins your installation
yn,you can run rf with a flag that warns you about deleting files see llutz
i didn't test unity yet but i have started to hate it already lol seems people are united by that,well it's got some nice smart things but it's not ripe at all
good afternoon,can any body tell me where can i find a good tutorial for bash scripting in ubuntu 710 gutsy gibson
what's the command to see how much space is left on my partition,df
gnomedo,i think that might be it yeah
actually i dont know if there any difference,but i prefer sudo
well that's true for me now with amd64 p,still i don't think debian's going anywhere and neither should it
i'm having a severe problem with a videoout card if anyone can help me,i'm having a severe problem with a videoout card if anyone can help me
has any one played half life 2 on ubuntu with wine,according to the wine app database a lot of people do
can i install kubuntu components in regular vanilla ubuntu,yes
without me writing pass all the time that is,you want it to run when you login or when computer boots
system administration networking,thats a bad security measure though unless the physical box is secure people will just press the button
i do beleive gcc needs to be downloaded,atleast i had to dl it
you can try making one with system perferences keyboardshortcuts,or you can try guake
wtf is the point of that,seems to be a room call
why doesnt alt or ctrl pgup scroll up in a gnome terminal,use ctrla
is there something wrong with the ubuntu archive every time i try to update it just lags out,topic
media,ownsyouall that tells me what's mounted i want to know how it knows what to mount
mount it and do what you want as root sudo,gksudo nautilus
is there a channel unity developers hang out in,ayatana
thank you dr,trying ekiga now
super is one of the keys with a logo,fixje thanks you are right it's the windows key
it's an information channel doesn't really matter,just kinda helps group channels that aren't a project name with a
i am not very linux compatiblei know nothing about linux,contrary to popular belief caps lock is not cruise control for cool
please don't be silly this is a support channel,no problem
have you tried an launcher with command 'mozillafirefox httpwwwgmailcom',that works thanks
is 'sudo aptget install pppoeconf' gonna also work for kubuntu,it should
adobe acrobat problem following ubuntuguideorg instructions didn't work can't find mozillaacroread any suggestions,xpdf p
should be possible wth altprntscrn,thanks that worked
it has information there that matches the drive i'm trying to map,pm please
not really millions but u know what i mean i hope,for a start read httpwwwgnuorgphilosophy
any fast download manager,mp3 and other files except video
you know i hate that i at always forget how to do tha t as well,well if you figure it out you wanna let me know
nautilus application,type it in to nautilus
hey i have an unrelated question when 704 comes out will my computer know how to automatically upgrade,like i will have to download the cd again
setting cpu affinity,taskset c number p pid
hi,question how can i order 30 ubuntu cds
is it true that 'xcompmgr' only works in kde,no
d,kayen wahed le nick smiytou chraybi o
depends on the file,stop
ya habilite el ntfs3g,pero no me reconoce los disco
merry xmas,meh save it for the christians lol
you need to edit the file using visudo,did you use visudo
whats up mate,i am not a grub man
sudo aptget update first,to update the package sources list
vjaz can't you just use wine,indeed i'm installing counterstrike by wine
what are you running,the release prior to 606
google images,get google images to filter out the 'dubious' material then
doesn't anybody use google anymore,what's google
dohpaz tsukasa there's a flag 'always open in browser' right there you can do without running gnome's regedit app p,i didn't know that
httppastebinubuntucom20281 what's up with emeraldthemes package where can i download the extra themes package,gnomelookorg and kdelookorg have emerald themes to dowload
will the 'resize scsi1 and use freed space' dualboot my xp ubuntu,probably but i've never tried it
dpkg s packagename,thank you
1921681820,it's actually 192168178 but there was a typo when i joined
i disabled tmpfs on arch had no probs,ok
cluelessperson if youre still asking way too general questions like that you havw a long way to go,i've found some answers already i'm just looking for more sources even though my cup has already been filled
i read somewhere that you type something into the terminal,sladen just beat me into submission that that was a bad thing tm to do
that is odd,kinda cool eh
anyone know what packages are required to allow ffmpeg to encode output mp3,i have lame liblame0 liblamedev lameextras installed
oops wait make is there where is configure,in '' usually
can i see somewhere the difference between debian and ubuntu,except this 6 month release thing
bot,stop
try sudo updatealternatives config xwwwbrowser,there is also a setting in pidgin to use whatever browser you want
well firefox doesn't seem to support javascript,it definitly does
hey guys,what are you talking about
hello everybody somebody know howto remove icons in gnomepannel applet 'window list' in gconfeditor,i dont think you can pretty sure thats hardcoded
i goofed something up and removed many packages i needlike dolphinlol how can i access a flash drive from console,i need to access my flash drive from console can anyone help
or is it too heavey of an os,run the live cd on it
easily in windows at least,yes but there is a mac address associated with the hardware
if you choose the 'custom' install option it doesn't install x,nice
join alsa,they are best with sound issues
wich package for ubuntu do i need to open targz with emacs,emacs is a text editor
what do you recommend to manage the server webmin or ebox or anything else,did i got kicked
bonjour j'ai des probleme pour me connecter a ubuntufr,ubuntufr
is someone know the login and password in xubuntu live cd beta 6 please,passoword is blank try ubuntu or xubuntu for login
you just made my week thankyou,i know super lame
what does it mean if compiz spits out 'compiz3091 glibgobjectcritical gobjectunref assertion gisobject object' failed' before crashing,ubottu snowienoobspert
use a different distro ubuntu is set up to use sudo,why why every distro got some own things you cant remove or something its killing linux
hey guys i just set up ubuntu and the only screen resolution available is 640x480any ideas,fresh hoary install not an upgrade
hello is there a way to find out what modules are loaded in my kernel,lsmod
wanted to ask the question before i wasted time on it and then i find out it's not compatible,google that man
this might be out of the scope of ubuntu but does anyone remember what the magic flags for g are,bigger font on 1280 p
cat proccpuinfo,thanks
do you guys know about any parallels for ubuntu 904,what is a paralle
ok unset away message,thanks
hi what's the best irc client i could use for gnome,or xfce
check settings sessions,check the hole systemmenu youll find it
is keyserverubuntucom down,seems to have just come back up
what did you find on google,httpslaunchpadnetubuntuppas
after you boot try running sudo updategrub,yes it looks like it worked in terminal thanx
really,u guys think if a install ubuntu and learn some i would not back to windows
hey guys is there an ubuntu gaming channel,guess not anyone know any good games for ubuntu
can i use wine so that my kid can play his windows game on ubuntu,sometimes
ttys try ctrlaltf1 be back in x with ctrlaltf7,thanks that was it i just couldn think of it
sudo nano etcnetworkinterfaces,what do i do the only text in the doc is two lines auto lo and iface lo inet loopback
no contact macromedia,macromedia doesn't release a shockwave player for linux so all you can do is ask them to start doing so
i got 'no root directory defined' as soon as ubuntu booted up for the installation why,you have to specify which directory to install as the root directory
that would be best discussed in ubuntu1 thanks,okay thanks
does anyone have ubuntu up and running,i guess most people in here do
i tried kill,have you tried stopping the process in the system monitor
any opinions on the unity ui,wrong channel dude
p,tubgirl
ola,espanol
man command name,i dont want the documantation i want the c code
ah that's how ya do it,but i wasn't abusing him i was trying to help
if it work its too slow with vbox try your luck with wine,ok i will try with wine thank you
i have a rather major problem is anyone up for helping me with it,dont keep us guessing
heywhat email client do you all use to handle pop,is there something like outlook
hehe thanks,its just a 'joke' no real meaning afaik
how do i list my partitions from terminal,'mount'
just sudo apitude update sudo aptitude upgrade and it will be done automatically for you,i never had probs with it but normally the updates are security ones depending on your repos
i wanna add more space,sure is possible
everyone can somebody help i cant here anything on my computer,apps sound video gnome mixer looks for mutes turn volumes up
info ipcop,info ipcop
if you just updated to feisty perhaps there aren't any more updates to install,hmm come to think of it haven't seen many updates to feisty either perhaps this is perfectionno more bugs
how am i in the wrong channel m12,um sorry but you're reasoning makes no sense please stick to ubuntu questions in here
what driver,if you installed something through apt then there shouldnt be any other installation script you need to run
hello,how do i install sh
in what sense,nov 22 112926 ubuntu ubiquity illegal number labeldata
install pidgin extras and there is an option in plugins to disable the bubbles,cool thanks
if the install fails yes,but you can always mount from live if the install fails and retrieve your files for a clean install
wouldnt that be shift3,it's a british keyboard shift3 gives me the pound symbol
hi i fried my kernel,how can i definitely get back to the one ubuntu distributesrecommends
yes i did that via synaptic,oops sorry i didn't go kde4
did you install the restrcited extras,did you run this command sudo usrsharedoclibdvdread4installcsssh
why should it,they usually have a count down or something on the front page at least
are you asking about mirrors,okay see the page cybrjacklelappy sent you
is there a way to end task in ubuntu,kill or killall
is there such thing in ubuntu as repair,what do you mean exactly
kgb,anyone know what is the tool to work with kgb compression files
just msg mei cant tell if someone has replied to me because im in 4 channels asking same thing,this is ubuntu related and no help
i don't need it guthin did,ah ok
when i log in my wireless network no longer connects automatically since we stopped broadcasting the ssid name,then start broadcasting it again
turn off the swap with swapoff then you can turn it back on it'll force it to page in,thanks a lot it seems to work nice
i installed ubuntu a couple of days ago but when i logged in today i'm suddenly not sudo anymore,you mean you're not in the sudoers group
ah thanks,yeah saw that
it's called the amd64 build insead of i386,so there is one
where can i download wubi for 1010,why on earth would you want to use wubi
i upgraded to dapper and have been unable to get wireless working,i have a broadcom 4318
mm player is just barebones vmware not really pretty for tweaking or creating vms,server well i guess a little extra functionality i personally use workstation
how to create a new channel,tell me please how to create a new channel
thanx,i love amarok and rhythmboxboth are easy to set up an duse kaffeine mplayer and vlc are great for video
please be respectful,i'll try actually it's more the retared deb ssl guys p
mount eax,will read thanks
is this like windows where the better you updated the secure you are,is you update often then you know ur secure and all the bugs are fixed
probably i would think sometime around or after 8am gmt could be wrong,keep this a secret but i heard from some of the lead developers that morning or midday isn't unlikely
the theme issue is common in ubuntu the gnome2 config files in your home directory don't get changed correctly,search for it on google
thanks you beat me to the link,i have an intel graphics cardand trying to do rendering 3g is a 'windmill toppeling quest' from horseback
usb,you can install from usb but you will need to create a 'start up diskusb'
how can i activate scsi emulation,why would you want scsi emultaion
what is the right way for feature requests for hoary the bugzilla or email to the list,are you planning on implementing them youtself
windows,linux
is there a howto make the box for the cd anywhere,eh
debianmentors,i also recommend reading the documenation on debianorg
is someone is listening to me at all,ask a question if someone can help they will
dpkg l package,thanks
is this if i want to submit the package to the official repo theadmin ikonia welllaidlawn,it will build a deb package
just use it that has always worked for me,might depend on the hardware i've got an older 8x dvd burner
not right now what do you need to know,no idea but i installed archlinux instead i found backtrack to such
did so turned out i needed to use devsdc because it's on usb,but it works so whatever
cretive commons,google that they have many different licences
join fluxbox and ask them where to adjust the font size,thanks i did change the fluxbox's style but i think jamesinator's suggestion of looking in x11's settings makes sense
how do i cut the last 5 signs out of a string via the bash,what are signs
funkylarge yes hardy is now on 18 kernel version,thanks do you know how do i add it to the grub list
assuming i know the url,wget url
what package will let me log into gmail chat using the curses command line interface is there any,any curses jabber client centericq is one
you broke compiz by enabling ati's driver,well i am trying again reinstalled it lastnight
do not use automatix its really dangerously poorly written,dell uses it
hondjei know them all,you're in a linux channel we're most likely going to say linux
from suspend,correct
emc2,great but its proved to be wrong since scientists found particles faster than light
i am installing windows vista xp and ubuntu i which order would be the best,should i install both windows copies and then ubuntu
anyone know how to install skins for xmms,yeah man xmms you can install them locally of syswide very easy read the man pages
how can i find mt wan ip address subnet mask isp gateway address,ifconfig
hi,please don't say 'hi' every time someone joins
nas,algun espaol
hi does anybody know of a yahoo chat client with voice,oh okay then dont suppose anybody here has ran yahelite on wine
how do i do a dual boot of linux ubuntu and windows cringe,pop in the ubuntu installer and follow the instructions
does anyone know ifhow i can run 32 bit python on a x8664 installation,why would you want to do that
a day for ubuntu 904,here 1054 11 hrs
man i can't believe all these people getting all those restricted codecs from hungary,and they think it is funny
not sure on ubuntu but in kde login you can set up a different themeskin from kdelookorg,that's right that's what a themeskin does
dont' forget the tar xvjf,that's not needed
is the terminal is program equivalent of dos in windows,not quite
im at a ubuntuforumsorg page it says 'systempreferencesthemes',but i dont believe i had that
how to resize ext3 partition on windows xp help please,try hiren
do tou already have the ts folder or need convert video first,use brasero and create a dvd video project then drag de ts folder and burn at minimun speed
i don't know how stable you would like it to be,stable as in not buggy
so was hoping i could get some help,people help quicker when you ask a question
k thx chadarius,green usually means executable try 'ls colornone' to get rid of that colour coding
if i want to create the os partition should i choose 'use as' ext3 ext2 reiserfs or,i use ext3 for and home usually and xfs for tmp
what happen if i create a softraid1 array with ubuntu then i install windows ext3 drivers on my xp dualboot,2012
really man ive been typing it wrong this whole time i think lmfao,well i think u can if u want but i dont think it matters
does a live ubuntu 810 session allow to write to ntfs easily,no live session is read only
how do i restart my services,like in fedora it would be services restart network or something
spoil sport,go home
what kernels does a clean install of gutsy offer,dear god the packages involved in installing the kernels on ubuntu are just horrendous
why is my flash player inside firefox sometimes really slow and laggy on a really good computer,flash on linux is crud
i heard that the medibuntu repo includes google earth but i haven't tried it myself,last i checked it was winevoodoo dunno if that's changed
aptget f install,thanks but that doesn't help at all there's no conflict anywhere
yes i have www infra recorder for in other window xp when i download which should i save run,save or run
if i add the backtrack repo to an amd ubuntu will 'aptget' install amd compatible stuff only,or everything
but ubuntustandard package 'depends' on it metapackage,to answer one of my question apt aptitude
ziroday is pavan looking for medibuntu or similar,no clue you want to himher
i just mounted a img file how can i play it like it was a dvd,what player is best
no usb,unetbootin works would that work with an sd
for intel gmas,'sudo xorg configure' i think
why there is an open connection to screenshotsubuntucom,if you're looking at software center thats where it gets its application screenshots from
hi how do i copy the text from a putty session and paste it to gedit,select the text using the cursorand then middleclick paste
i say simple question,install gnomebaker and burn the iso as a dvd image
hey,hi
it says preparing the files but i dguess that culd be because of the amount that i am coping,that sounds likely
it's aptget aptget update and then install xxx,i forgot to mention that you have to sudo aptget or it wont work
test,pong
and the latest version is 610 correct,yes and yes
is it possible to listen to audio from 2 different programs at the same time,yep it is on some programs
yes but you lose the ability to have icons on the desktop,ah thanks
is there any good guys there who could give me a free copy of opensuse cds,is there any good guys there who could give me a free copy of opensuse cds
why you need command line,httpmaketecheasiercominstallandroidsdkinubuntukarmic20100111
im trying but i dont found download button,umm you'll get the same anwser as you did in gentoo
how do you kill xserver,sude invokercd gdm stop
can someone please tell me the command to search every file in my computer for the word 'deathlyimportant','find'
grep radeon,grep returns partial strings 'adeon' will match 'radeon' and radeon' both
it doesnt matter,thank you
does debian's packaging follow the same 'no major release software upgrades' rule as ubuntu,ask in debian
how do i find out the cpu speed from ssh,thanks xorlev d
i think breezy has an expert install mode,no isnt a helpful answer
can someone help me with a ubuntu server problem,try in ubuntuserver
why are people sending me blankness,there is a scriptkiddie running amok
it being the process,i have no clues
dammit imposter,hehe
unity is like a curse we cannot completely get rid of,drwillis with the alternate cd you can choose to not install a gui
cheers,no it just keeps saying 'drive not ready insert boot diskette in a press any key when ready'
how to use turpial to view favorite tweets,not
